week,ticker,net_val,n_fear,n_pairs,n_comments
2025-08-23,COST,1.0,0,4,2
2025-08-30,COST,-0.75,0,5,4
2025-09-06,COST,0.0,0,4,4
2025-09-13,COST,-1.5,1,3,1
2025-09-20,COST,-1.5,0,3,2
2025-10-04,COST,-1.0,0,4,4
2025-10-11,COST,-0.5,0,1,1
2025-10-18,COST,-2.0,1,5,3
2025-10-25,COST,-1.0,0,5,5
2025-11-01,COST,-2.5,1,9,7
2025-11-08,COST,-0.75,0,5,4
2025-11-15,COST,0.5,0,1,1
2025-11-22,COST,1.25,0,5,2
2025-12-06,COST,-0.25,0,2,2
2025-12-13,COST,0.75,2,11,6
2025-12-20,COST,-1.0,0,2,1
2025-12-27,COST,-0.5,0,1,1
2026-01-03,COST,-1.75,0,5,5
2026-01-10,COST,0.0,0,2,2
2026-01-17,COST,-1.5,4,8,5
2026-01-24,COST,1.0,0,6,5
2026-01-31,COST,0.0,0,1,1
2026-02-07,COST,0.5,0,1,1
2026-02-14,COST,-3.75,0,9,5
2026-02-21,COST,-0.5,1,2,1
2026-02-28,COST,-1.0,1,7,5
2026-03-14,COST,0.0,0,2,2
2026-03-21,COST,-0.5,0,1,1
2026-03-28,COST,-2.25,0,9,4
2026-04-04,COST,-2.0,0,3,2
2026-04-18,COST,-0.5,0,2,1
2026-05-02,COST,-1.0,0,2,1
2026-05-09,COST,-1.5,0,3,2
2026-05-23,COST,0.0,0,2,1
2026-06-06,COST,-2.75,0,6,3
2026-06-13,COST,3.5,0,39,29
2026-06-20,COST,0.25,0,3,2
2026-07-11,COST,-1.25,0,3,2
2017-12-30,CRM,1.5,0,3,2
2018-01-20,CRM,-1.0,0,2,2
2018-03-03,CRM,-1.0,0,2,1
2018-03-10,CRM,0.5,0,1,1
2018-03-17,CRM,0.25,0,5,2
2018-03-24,CRM,0.0,0,1,1
2018-06-02,CRM,0.5,0,3,2
2018-07-07,CRM,-0.5,0,1,1
2018-07-28,CRM,-6.5,0,17,9
2018-08-04,CRM,0.0,0,2,1
2018-08-11,CRM,-3.25,0,6,3
2018-08-25,CRM,-1.25,0,8,5
2018-09-01,CRM,-0.5,1,1,1
2018-09-15,CRM,-1.0,0,2,2
2018-09-29,CRM,0.5,0,1,1
2019-01-19,CRM,0.5,0,1,1
2019-03-30,CRM,-1.0,0,2,1
2019-04-13,CRM,-1.5,0,3,1
2019-05-18,CRM,0.5,0,1,1
2019-06-08,CRM,-4.5,0,10,6
2019-06-15,CRM,0.0,0,4,2
2019-07-27,CRM,1.25,0,5,2
2019-08-03,CRM,1.0,0,2,1
2019-08-17,CRM,0.0,0,3,3
2019-10-05,CRM,-0.5,0,1,1
2019-10-12,CRM,-1.0,0,2,1
2019-10-19,CRM,-1.0,0,2,2
2019-11-09,CRM,-0.5,0,4,2
2020-01-11,CRM,0.0,0,2,2
2020-02-08,CRM,-0.63,2,3,2
2020-02-15,CRM,0.5,0,1,1
2020-02-22,CRM,-1.25,0,2,1
2020-02-29,CRM,0.0,0,2,2
2020-04-04,CRM,-0.5,0,1,1
2020-04-11,CRM,-0.5,0,1,1
2020-05-02,CRM,1.25,0,2,1
2020-06-20,CRM,-4.75,0,8,6
2020-07-11,CRM,0.25,0,1,1
2020-07-18,CRM,0.5,0,1,1
2020-08-01,CRM,-0.5,0,1,1
2020-08-22,CRM,-13.5,1,40,28
2020-08-29,CRM,-5.75,4,13,7
2020-09-05,CRM,0.0,0,3,1
2020-09-12,CRM,-1.25,0,2,2
2020-09-19,CRM,-0.5,0,1,1
2020-09-26,CRM,-0.5,0,1,1
2020-10-10,CRM,0.5,0,6,1
2020-10-24,CRM,0.0,0,1,1
2020-11-14,CRM,1.0,0,4,3
2020-11-21,CRM,-10.620000000000001,3,27,16
2020-11-28,CRM,-5.0,0,38,25
2020-12-05,CRM,-0.5,0,5,5
2020-12-19,CRM,0.25,0,3,3
2021-01-02,CRM,0.5,0,2,1
2021-01-09,CRM,1.0,1,4,3
2021-01-16,CRM,2.75,0,6,4
2021-01-23,CRM,-2.0,0,3,1
2021-01-30,CRM,-1.25,0,4,2
2021-02-06,CRM,-0.5,1,5,4
2021-02-13,CRM,0.25,0,1,1
2021-02-20,CRM,-0.25,0,1,1
2021-02-27,CRM,-1.0,1,2,2
2021-03-06,CRM,-0.25,0,3,2
2021-03-13,CRM,0.25,0,2,1
2021-03-20,CRM,-1.63,0,4,3
2021-04-03,CRM,1.0,0,2,1
2021-04-10,CRM,0.0,0,2,2
2021-05-01,CRM,-0.75,0,1,1
