date,n,dead,removed,dead_rate,removed_rate
2022-01-07,8231,2184,1725,0.26533835499939257,0.2095735633580367
2022-01-14,8326,2466,2142,0.2961806389622868,0.25726639442709587
2022-01-21,9938,3266,2948,0.3286375528275307,0.2966391628094184
2022-01-28,9266,3450,3134,0.37232894452838333,0.33822577163824735
2022-02-04,7592,2792,2446,0.3677555321390938,0.32218124341412013
2022-02-11,10011,4753,4352,0.4747777444810708,0.4347218060133853
2022-02-18,8263,3355,2902,0.4060268667554157,0.35120416313687525
2022-02-25,11625,4763,4136,0.4097204301075269,0.35578494623655915
2022-03-04,10304,4736,4339,0.45962732919254656,0.42109860248447206
2022-03-11,11852,5675,5104,0.47882213972325344,0.4306446169422882
2022-03-18,9840,4425,4045,0.4496951219512195,0.4110772357723577
2022-03-25,10080,5440,5080,0.5396825396825397,0.503968253968254
2022-04-01,15128,8774,8126,0.5799841353781068,0.5371496562665257
2022-04-08,11548,4813,4239,0.41678212677519916,0.36707655005195705
2022-04-15,13543,6802,6148,0.5022520859484605,0.4539614561027837
2022-04-22,10830,5447,4969,0.502954755309326,0.45881809787626965
2022-04-29,12279,6192,5733,0.5042755924749572,0.46689469826533103
2022-05-06,11332,4051,3541,0.35748323332156723,0.31247793858100953
2022-05-13,12845,5735,5225,0.4464772284935773,0.40677306344881276
2022-05-20,15931,6453,5697,0.4050593183102128,0.35760467013997865
2022-05-27,12316,5903,5492,0.4792952257226372,0.4459240012991231
2022-06-03,12685,6187,5764,0.4877414268821443,0.4543949546708711
2022-06-10,20645,9768,8939,0.473141196415597,0.43298619520465004
2022-06-17,16809,6161,5522,0.3665298352073294,0.3285144862871081
2022-06-24,19396,7487,6841,0.38600742421117756,0.35270158795627965
2022-07-01,12637,5718,5396,0.4524808103189048,0.42700007913270555
2022-07-08,10197,4374,4030,0.4289496910856134,0.3952142787094243
2022-07-15,14462,6748,6333,0.4666021297192643,0.43790623703498827
2022-07-22,14798,6287,5912,0.42485471009595893,0.39951344776321124
2022-07-29,15873,6585,6114,0.41485541485541483,0.3851823851823852
2022-08-05,9947,4684,4443,0.4708957474615462,0.4466673368854931
2022-08-12,11195,5058,4716,0.45180884323358644,0.42125949084412684
